Cust_id,Qtr1_Bal,Qtr2_Bal,Qtr3_Bal,Qtr4_Bal,Perc_inc_q4_q1,Wallet_trx,Age,Gender,Area
C10803,14,33,40,50000,0.1,10,57,Female,East
C2666,8,21,35,9,0.1,10,52,Male,West
C6690,2,9,15,2,0.1,10,52,Male,
C2703,12,29,15,13,0.1,10,45,Female,East
C8114,1,7,14,1,0.1,10,51,Female,East
C10899,9,23,13,10,0.1,10,59,Male,West
C6418,2,9,33,2,0.1,10,53,Female,North
C3502,11,27,12,12,0.1,10,66,Male,East
C6885,8,21,31,9,0.1,10,67,Female,West
C8437,15,35,36,17,0.1,10,47,Female,South
C7731,2,9,25,2,0.1,10,48,Female,East
C8390,9,23,23,10,0.1,10,68,Female,East
C10194,15,35,14,17,0.1,10,68,Female,West
C9391,6,17,23,7,0.1,10,61,Female,North
C10020,2,9,35,40000,0.1,10,52,Female,South
C2779,9,23,24,10,0.1,10,57,Male,North
C10114,13,31,17,14,0.1,10,48,Male,South
C9671,15,35,13,17,0.1,10,61,Male,East
C7652,7,19,20,8,0.1,10,48,Female,West
C10939,1,7,19,1,0.1,10,46,Female,North
C3524,12,29,23,13,0.1,10,47,Male,East
C7062,1,7,21,1,0.1,10,62,Female,East
C7639,11,27,24,12,0.1,10,65,Male,West
C1812,4,13,22,4,0.1,10,54,Female,North
C6528,1,7,20,1,0.1,10,53,Female,West
C6810,10,25,12,11,0.1,10,55,Male,
C9588,4,13,11,4,0.1,10,53,Male,West
C7506,2,9,22,2,0.1,10,63,Female,East
C8621,2,9,33,2,0.1,10,62,Male,West
C11083,6,17,24,7,0.1,10,46,Female,North
C3797,15,35,25,17,0.1,10,63,Male,West
C3678,4,13,16,4,0.1,10,67,Male,South
C7477,15,35,15,17,0.1,10,61,Female,South
C9715,14,33,21,15,0.1,10,65,Male,North
C4916,12,29,18,13,0.1,10,61,Male,South
C7517,6,17,14,7,0.1,10,46,Female,North
C8776,5,15,20,6,0.1,10,64,Female,East
C9779,5,15,22,6,0.1,10,59,Male,West
C5359,8,21,22,9,0.1,10,52,Female,West
C5825,14,33,29,15,0.1,10,69,Male,West
C8447,12,29,16,13,0.1,10,51,Male,North
C7207,10,25,27,11,0.1,10,60,Male,North
C9204,5,15,27,6,0.1,10,45,Female,West
C3555,12,29,20,13,0.1,10,59,Male,East
C10107,14,33,17,15,0.1,10,46,Male,West
C5326,13,31,25,14,0.1,10,54,Female,North
C9401,2,9,14,2,0.1,10,61,Male,South
C4088,13,31,28,14,0.1,10,49,Male,West
C8168,1,7,23,1,0.1,10,46,Female,North
C1527,13,31,15,14,0.1,10,45,Female,East
C1809,14,33,19,15,0.1,10,60,Male,
C3499,3,11,30,3,0.1,10,54,Male,South
C7719,1,7,24,1,0.1,10,55,Male,North
C1692,3,11,31,3,0.1,10,52,Male,West
C6176,6,17,17,30000,0.1,10,51,Female,North
C6272,2,9,23,2,0.1,10,48,Male,West
C1382,3,11,19,3,0.1,10,57,Male,North
C2259,4,13,21,4,0.1,10,54,Male,West
C6558,15,35,30,17,0.1,10,49,Male,South
C7889,15,35,21,17,0.1,10,64,Female,North
C8274,15,35,29,17,0.1,10,62,Male,South
C7122,2,9,28,2,0.1,10,57,Female,West
C4210,6,17,27,7,0.1,10,50,Male,West
C9088,1,7,27,1,0.1,10,50,Male,North
C3544,6,17,13,7,0.1,10,65,Male,West
C4211,15,35,25,17,0.1,10,47,Male,East
C1867,7,19,19,8,0.1,10,59,Female,West
C7590,15,35,34,17,0.1,10,53,Male,North
C2402,15,35,23,17,0.1,10,60,Male,West
C7910,9,23,21,10,0.1,10,54,Male,West
C4859,13,31,32,14,0.1,10,49,Male,South
C6785,11,27,19,12,0.1,10,61,Male,North
C8815,5,15,22,6,0.1,10,49,Female,West
C4578,4,13,20,4,0.1,10,53,Male,West
C4944,6,17,25,7,0.1,10,69,Female,North
C1283,10,25,21,11,0.1,10,59,Male,North
C2312,12,29,22,13,0.1,10,65,Male,South
C5563,3,11,20,3,0.1,10,64,Male,North
C7056,9,23,13,10,0.1,10,67,Male,North
C3148,8,21,17,9,0.1,10,46,Female,
C10475,5,15,20,6,0.1,10,68,Male,West
C7946,4,13,27,4,0.1,10,65,Male,South
C10707,11,27,26,12,0.1,10,70,Female,South
C3570,3,11,17,3,0.1,10,57,Male,North
C7035,7,19,18,8,0.1,10,45,Female,South
C7044,15,35,26,17,0.1,10,45,Female,West
C3525,2,9,30,2,0.1,10,45,Male,North
C4499,5,15,21,6,0.1,10,60,Female,South
C8458,1,7,16,1,0.1,10,50,Male,South
C3840,6,17,26,7,0.1,10,57,Female,East
C6003,10,25,13,11,0.1,10,52,Male,East
C1248,6,17,22,7,0.1,10,57,Female,West
C4379,6,17,39,7,0.1,10,51,Male,South
C5259,1,7,26,1,0.1,10,67,Male,West
C2938,14,33,36,15,0.1,10,49,Male,East
C8163,9,23,18,10,0.1,10,48,Female,West
C9602,4,13,19,4,0.1,10,45,Female,South
C1257,6,17,30,7,0.1,10,63,Male,South
C6678,14,33,22,15,0.1,10,57,Male,North
C5756,11,27,29,12,0.1,10,48,Male,West
C10610,8,21,17,9,0.1,10,63,Male,North
C7927,12,29,17,13,0.1,10,54,Female,South
C9098,3,11,17,3,0.1,10,48,Female,South
C2122,15,35,30,17,0.1,10,63,Female,West
C2132,11,27,19,12,0.1,10,62,Female,East
C8262,13,31,27,14,0.1,10,49,Male,East
C10909,2,9,22,2,0.1,10,67,Male,West
C10930,10,25,17,11,0.1,10,45,Male,North
C6464,4,13,19,4,0.1,10,66,Male,West
C3474,10,25,32,11,0.1,10,50,Male,South
C8468,10,25,18,11,0.1,10,54,Female,North
C9191,6,17,20,7,0.1,10,69,Female,North
C10249,10,25,19,11,0.1,10,57,Female,West
C3332,8,21,18,9,0.1,10,52,Male,North
C6179,7,19,26,8,0.1,10,55,Male,West
C6637,14,33,17,15,0.1,10,51,Female,South
C7695,10,25,12,11,0.1,10,55,Female,East
C9427,1,7,21,1,0.1,10,55,Male,West
C10199,3,11,22,3,0.1,10,46,Male,West
C3842,10,25,22,11,0.11,11,50,Female,East
C7410,2,9,23,2,0.11,11,67,Male,West
C10681,8,21,17,9,0.11,11,47,Male,South
C6017,8,21,23,9,0.11,11,61,Female,South
C9428,2,9,24,2,0.11,11,49,Male,South
C3162,12,29,20,13,0.11,11,65,Female,West
C3693,8,21,15,9,0.11,11,66,Male,South
C7424,1,7,24,1,0.11,11,63,Female,North
C2446,3,11,24,3,0.11,11,53,Male,West
C7128,3,11,12,3,0.11,11,62,Female,South
C4723,5,15,29,6,0.11,11,62,Female,East
C1751,5,15,33,6,0.11,11,53,Female,West
C4753,12,29,36,13,0.11,11,59,Female,West
C6985,13,31,23,14,0.11,11,58,Female,North
C1993,15,35,19,17,0.11,11,70,Female,West
C5946,12,29,25,13,0.11,11,58,Male,North
C6168,5,15,16,6,0.11,11,56,Male,South
C2755,2,9,24,2,0.11,11,65,Male,South
C4617,4,13,14,4,0.11,11,49,Male,South
C8617,15,35,17,17,0.11,11,59,Female,West
C3070,5,15,21,6,0.11,11,61,Male,North
C5973,7,19,32,8,0.11,11,48,Female,South
C9482,5,15,17,6,0.11,11,45,Female,North
C4107,15,35,33,17,0.11,11,55,Female,East
C8903,7,19,33,8,0.11,11,66,Male,West
C1088,1,7,31,1,0.11,11,48,Female,West
C5850,12,29,24,13,0.11,11,69,Male,West
C3648,3,11,15,3,0.11,11,69,Male,North
C4373,11,27,16,12,0.11,11,66,Male,North
C8563,9,23,32,9000,0.11,11,48,Male,West
C9872,9,23,18,10,0.11,11,56,Male,South
C7049,11,27,25,12,0.11,11,62,Male,East
C4024,15,35,21,17,0.11,11,59,Male,West
C5425,5,15,19,6,0.11,11,48,Male,West
C2089,1,7,33,1,0.11,11,46,Male,South
C10072,15,35,22,17,0.11,11,54,Female,East
C10483,13,31,23,14,0.11,11,59,Female,West
