OrderID,CustomerID,OrderVolume,ShipMode,Segment,Category,PaymentTerm,Discount,ExistingPurchaseOrder,FirstCustomerOrder,CashInDate
O-100,1024,276.1,Same Day,Corporate,Office Supplies,30,5,Yes,Yes,18-02-2011
O-101,1024,35.88,Same Day,Corporate,Office Supplies,30,5,Yes,No,18-02-2011
O-102,1006,66.12,Second Class,Consumer,Office Supplies,30,3,Yes,Yes,06-02-2011
O-104,1023,408.3,Standard Class,Consumer,Office Supplies,30,5,No,Yes,17-02-2011
O-105,1009,314.22,Standard Class,Consumer,Technology,45,3,Yes,Yes,10-02-2011
O-106,1014,666.84,Standard Class,Corporate,Furniture,14,0,Yes,Yes,09-02-2011
O-107,1015,337.64,Second Class,Consumer,Office Supplies,30,3,Yes,Yes,16-02-2011
O-108,1008,211.18,Second Class,Consumer,Furniture,30,0,Yes,Yes,09-02-2011
O-111,1028,854.49,Standard Class,Consumer,Furniture,30,5,Yes,Yes,09-02-2011
O-112,1010,195.2,Standard Class,Consumer,Technology,45,5,Yes,Yes,19-02-2011
O-113,1006,122.58,Standard Class,Consumer,Office Supplies,14,5,Yes,No,27-01-2011
O-114,1006,62.34,Standard Class,Consumer,Office Supplies,30,5,Yes,No,01-02-2011
O-116,1010,18.54,Same Day,Consumer,Office Supplies,30,5,Yes,No,22-02-2011
O-117,1014,47.43,Standard Class,Corporate,Office Supplies,45,5,Yes,No,04-03-2011
O-119,1006,16.71,Standard Class,Consumer,Office Supplies,45,5,Yes,No,15-02-2011
O-127,1000,81.24,Standard Class,Consumer,Office Supplies,45,3,Yes,Yes,02-03-2011
O-132,1019,12.78,First Class,Corporate,Office Supplies,14,3,Yes,Yes,11-02-2011
O-133,1031,16.45,Standard Class,Consumer,Office Supplies,14,5,Yes,Yes,31-01-2011
O-120,1030,716.04,First Class,Corporate,Office Supplies,45,3,Yes,No,19-02-2011
O-121,1028,139.77,Standard Class,Consumer,Office Supplies,30,5,No,No,15-02-2011
O-122,1030,33.39,First Class,Corporate,Office Supplies,45,5,Yes,No,02-03-2011
O-123,1015,120.37,Standard Class,Consumer,Office Supplies,14,0,No,No,17-02-2011
O-124,1015,135.12,Standard Class,Consumer,Office Supplies,14,5,Yes,No,28-01-2011
O-125,1014,51.84,Second Class,Corporate,Office Supplies,30,5,Yes,No,08-02-2011
O-126,1030,155.36,First Class,Corporate,Furniture,45,0,Yes,No,20-02-2011
O-130,1025,37.84,Standard Class,Corporate,Technology,14,0,Yes,No,17-02-2011
O-134,1008,55.24,Standard Class,Consumer,Office Supplies,14,0,Yes,No,07-02-2011
O-135,1008,27.36,Standard Class,Consumer,Office Supplies,45,5,Yes,No,11-02-2011
O-136,1000,15.48,Standard Class,Consumer,Office Supplies,45,5,Yes,No,22-02-2011
O-137,1000,5.91,Standard Class,Consumer,Office Supplies,14,5,Yes,No,02-02-2011
O-142,1020,324.45,Second Class,Consumer,Furniture,14,5,Yes,Yes,18-01-2011
O-143,1011,272.74,Standard Class,Corporate,Office Supplies,14,5,Yes,Yes,12-02-2011
O-154,1005,3.54,Standard Class,Corporate,Office Supplies,30,3,Yes,Yes,28-02-2011
O-138,1010,3028.8,Standard Class,Consumer,Office Supplies,14,3,Yes,No,10-02-2011
O-140,1015,912.46,Standard Class,Consumer,Technology,45,5,Yes,No,08-02-2011
O-141,1025,222.56,Standard Class,Corporate,Technology,30,3,Yes,No,22-02-2011
O-145,1013,148.96,Second Class,Consumer,Office Supplies,14,3,Yes,No,07-02-2011
O-147,1025,165.55,Standard Class,Corporate,Technology,30,3,Yes,No,13-02-2011
O-148,1008,69.3,Standard Class,Consumer,Technology,14,3,Yes,No,29-01-2011
O-149,1008,68.87,Standard Class,Consumer,Furniture,30,5,No,No,05-02-2011
O-150,1031,19.44,Second Class,Consumer,Office Supplies,30,5,Yes,No,01-02-2011
O-155,1018,363.39,Same Day,Corporate,Furniture,30,0,Yes,Yes,16-02-2011
O-157,1018,142.38,Same Day,Corporate,Office Supplies,45,0,Yes,No,11-03-2011
O-158,1018,154.98,Same Day,Corporate,Office Supplies,45,5,Yes,No,28-02-2011
O-159,1014,156.24,Same Day,Corporate,Technology,14,3,Yes,No,26-01-2011
O-160,1000,255.84,First Class,Consumer,Office Supplies,30,3,Yes,No,21-02-2011
O-162,1000,44.7,First Class,Consumer,Office Supplies,14,5,No,No,09-02-2011
O-165,1014,37.11,Same Day,Corporate,Technology,45,5,Yes,No,19-02-2011
O-167,1014,11.37,Same Day,Corporate,Office Supplies,30,0,Yes,No,21-02-2011
O-168,1018,10.53,Same Day,Corporate,Office Supplies,45,0,Yes,No,09-03-2011
O-170,1028,5.03,First Class,Consumer,Office Supplies,45,3,No,No,05-03-2011
O-188,1021,91.38,Standard Class,Corporate,Office Supplies,30,0,Yes,Yes,08-03-2011
O-193,1022,28.32,Standard Class,Corporate,Technology,14,3,Yes,Yes,15-02-2011
O-171,1008,2875.09,First Class,Consumer,Technology,45,5,Yes,No,07-02-2011
O-175,1005,391.98,Standard Class,Corporate,Technology,30,0,Yes,No,08-02-2011
O-176,1008,445.41,Standard Class,Consumer,Technology,30,5,Yes,No,04-02-2011
O-177,1015,273.7,Standard Class,Consumer,Technology,45,3,Yes,No,19-02-2011
O-178,1008,387.52,Standard Class,Consumer,Technology,14,3,No,No,29-01-2011
O-179,1018,174.33,Standard Class,Corporate,Technology,30,5,Yes,No,12-02-2011
O-180,1020,102.72,Same Day,Consumer,Office Supplies,14,5,Yes,No,25-01-2011
O-181,1012,185.76,Standard Class,Corporate,Office Supplies,45,3,Yes,No,19-03-2011
O-183,1012,74.3,Standard Class,Corporate,Office Supplies,14,5,Yes,No,19-02-2011
O-185,1015,48.78,Standard Class,Consumer,Furniture,30,5,No,No,07-02-2011
O-187,1015,34.29,First Class,Consumer,Office Supplies,14,5,Yes,No,06-02-2011
O-189,1008,27.46,Standard Class,Consumer,Office Supplies,45,0,Yes,No,05-03-2011
